flickrid,owner_id,title,date_downl,date_shot,gps_bool,farm,server,secret,make,model,foc_mm,azimuth_bo,azimuth,height
23813930665,57615963@N06,Geneva Botanical Gardens,2016-10-06,2015-12-07,"1","1","733",,Apple,iPhone 6s,4.200000000000000,"0",48.559420289999998,382.546729000000028
23445972649,57615963@N06,Geneva Botanical Gardens,2016-10-06,2015-12-07,"1","1","762",,Apple,iPhone 6s,4.200000000000000,"0",28.035398229999998,384.159574500000019
23185806914,57615963@N06,Geneva Botanical Gardens,2016-10-06,2015-12-07,"1","1","723",,Apple,iPhone 6s,4.200000000000000,"0",280.958677700000010,383.319526600000017
23813927685,57615963@N06,Geneva Botanical Gardens,2016-10-06,2015-12-07,"1","1","659",,Apple,iPhone 6s,4.200000000000000,"0",302.101408499999991,383.140350899999987
23185805214,57615963@N06,Geneva Botanical Gardens,2016-10-06,2015-12-07,"1","6","5696",,Apple,iPhone 6s,4.200000000000000,"0",109.818493200000006,386.865248199999996
23518242500,57615963@N06,Geneva Botanical Gardens,2016-10-06,2015-12-07,"1","6","5709",,Apple,iPhone 6s,4.200000000000000,"0",159.341269799999992,387.640102800000022
23187133033,57615963@N06,Geneva Botanical Gardens,2016-10-06,2015-12-07,"1","6","5750",,Apple,iPhone 6s,4.200000000000000,"0",16.387604069999998,390.055118100000016
23518240100,57615963@N06,Geneva Botanical Gardens,2016-10-06,2015-12-07,"1","1","731",,Apple,iPhone 6s,4.200000000000000,"0",74.039106149999995,394.260563400000024
23187130923,57615963@N06,Geneva Botanical Gardens,2016-10-06,2015-12-07,"1","1","626",,Apple,iPhone 6s,4.200000000000000,"0",51.997619049999997,392.724085399999979
23185800144,57615963@N06,Geneva Botanical Gardens,2016-10-06,2015-12-07,"1","1","751",,Apple,iPhone 6s,4.200000000000000,"0",14.560790270000000,392.775280899999984
23185799214,57615963@N06,Geneva Botanical Gardens,2016-10-06,2015-12-07,"1","6","5764",,Apple,iPhone 6s,4.200000000000000,"0",30.873170729999998,395.392757700000004
