osm_id,code,fclass,name,ref,oneway,maxspeed,layer,bridge,tunnel,length,azimuth,az+
"8772890","5141",service,Avenue de Béthusy,,B,"30","0",F,F,132.929262905837760,190.824242956122930,"188"
"8772891","5122",residential,Passage du Pécos,,B,"30","0",F,F,83.096410031385233,261.928472244726095,"259"
"10111876","5115",tertiary,Avenue Marc-Dufour,,B,"50","1",T,F,55.090329869965529,71.414266457917449,"65"
"15535490","5122",residential,Avenue Virgile-Rossel,,B,"30","0",F,F,178.532809486301744,100.049856908146253,"105"
"15535491","5141",service,Chemin de Bellevue,,B,"0","0",F,F,223.443713601939891,130.663639525212830,"142"
"15535493","5122",residential,Avenue du Tribunal-Fédéral,,F,"30","0",F,F,160.914375936615016,120.162978022208563,"131"
"15535494","5123",living_street,,,B,"20","0",F,F,50.207871979674081,352.140608384335394,"355"
"15538089","5122",residential,Avenue des Mousquines,,F,"50","0",F,F,28.959301768017539,95.164263646284269,"98"
"15538091","5114",secondary,Avenue du Léman,,B,"50","0",F,F,24.267847676553210,135.254576526699140,"146"
"15538098","5122",residential,Rue Charles-Augustin-Sainte-Beuve,,B,"30","0",F,F,106.895034897775318,298.096698248762721,"308"
"15546210","5122",residential,Rue de l'Ancienne-Douane,,F,"30","0",F,F,60.334960629887611,160.454152664389312,"167"
"15546213","5113",primary,Rue du Bugnon,"1",B,"50","0",F,F,364.573458710269279,188.985290708427726,"187"
"20569673","5121",unclassified,Avenue Villamont,,F,"50","0",F,F,39.455221098092899,219.647192924746633,"210"
"20570508","5115",tertiary,Avenue Georgette,,B,"50","0",F,F,125.991269193760218,22.938359858311166,"17"
"20570985","5122",residential,Avenue des Toises,,B,"0","0",F,F,97.463860873318509,287.744580947032489,"295"
"20571033","5122",residential,Chemin des Trois-Rois,,F,"0","0",F,F,108.565947687955855,218.630097359878505,"209"
"20571311","5122",residential,Rue de l'Ecole-Supérieure,,B,"0","0",F,F,142.389917754975698,97.642830476784454,"102"
"20571702","5114",secondary,Rue Saint-Pierre,,B,"50","0",F,F,61.278665590920177,307.233573825341750,"318"
"20572587","5114",secondary,Avenue Benjamin-Constant,,B,"50","0",F,F,123.180391801390385,80.870496355200345,"77"
"20572861","5122",residential,Passage Belle-Rose,,F,"50","0",F,F,6.645219751134082,289.443592616201443,"298"
"23335705","5113",primary,Giratoire de Malley,,B,"50","0",F,F,100.478349051486049,0.000000000000000,
"23335768","5115",tertiary,Avenue de Longemalle,,F,"50","0",F,F,40.318576032637374,277.441727138170165,"281"
"23365071","5141",service,,,F,"0","0",F,F,51.630401081728330,258.407564271722322,"254"
"23365080","5131",motorway_link,,,F,"0","0",F,F,46.808443400887803,314.998616821753160,"326"
"23366981","5122",residential,Chemin du Bois-de-Vaux,,B,"30","0",F,F,63.428765744873942,45.241139859644917,"35"
"23370341","5114",secondary,Avenue de Rhodanie,"138",F,"50","0",F,F,100.924142358842744,99.083903627377467,"104"
"23370360","5115",tertiary,Avenue de Montoie,,F,"50","0",F,F,36.245566994817906,9.485925716010950,"7"
"23370390","5113",primary,Avenue du Chablais,"1",F,"60","0",F,F,162.975781756217458,251.440880972824971,"245"
"23370449","5114",secondary,Avenue de Provence,,F,"50","0",F,F,129.393368858735244,83.150319862779625,"81"
"23370653","5113",primary,Avenue du Chablais,"1",F,"60","0",F,F,34.335981018087615,76.533540952144676,"71"
"23370655","5113",primary,Avenue du Chablais,"1",B,"60","1",T,F,56.462234969956654,69.357317899660302,"62"
"23370720","5113",primary,Avenue du Chablais,"1",B,"50","0",F,F,51.121297289231983,213.096050103335273,"205"
"23375292","5114",secondary,Avenue de Tivoli,,F,"50","0",F,F,106.920162477846247,273.455262489476297,"275"
"23395578","5155",steps,Escaliers du Marché,,B,"0","0",F,F,35.842782708166908,58.387336030674412,"49"
"23395583","5155",steps,Escaliers du Marché,,B,"0","0",F,F,28.104546954604157,74.870960346953225,"69"
"23395608","5122",residential,Rue Beau-Séjour,,B,"30","0",F,F,252.376124525547624,281.241128970793682,"287"
"23395610","5122",residential,Rue Charles-Monnard,,F,"30","0",F,F,151.828155866157658,204.303185682150342,"198"
"23395689","5123",living_street,Rue Saint-Etienne,,F,"20","0",F,F,10.328608448820976,184.377837916080438,"184"
"23395715","5122",residential,Chemin de Villard,,F,"30","0",F,F,167.915129940754525,259.297118370711360,"255"
"23405084","5114",secondary,Avenue Antoine-Henri Jomini,,B,"50","0",F,F,146.055924164463789,29.373555209633761,"22"
"23405103","5114",secondary,Rue de la Borde,,B,"50","0",F,F,44.228499139016328,184.156548701746487,"183"
"23405109","5114",secondary,Place du Tunnel,"150",F,"50","0",F,F,42.197508980147703,308.930339233897428,"320"
"23405125","5114",secondary,Place du Tunnel,"150",B,"50","0",F,F,56.114661715952252,77.935156338299038,"73"
"23405137","5114",secondary,Placette du Tunnel,"150",B,"50","-1",F,T,55.474007092756644,91.768342208618066,"93"
"23405172","5122",residential,Place du Tunnel,,F,"50","0",F,F,61.896965777393746,133.861296466677601,"145"
"23405179","5122",residential,Place du Tunnel,,B,"50","0",F,F,76.029665177530461,35.274173995922681,"27"
"23405300","5115",tertiary,Rue du Tunnel,,B,"50","0",F,F,122.953870844563568,240.934700323632910,"232"
